UniqueID,MAIN_CROP,MAIN_CROP_DATE,YR_PLANTED,ACRES,COUNTY,REGION,HYDRO_RGN,CROPTYP1,CLASS1,SUBCLASS1,study_region,is_unit,nearest_station_km
3102925,D12,,2020,7.483002663607099,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,17.9
3102926,D12,,2020,52.86567514833115,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,18.3
3102838,D12,,2021,142.90156855572565,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.29
3103965,D12,,2021,9.449343821415619,Placer,NCRO,Sacramento River,****,**,**,sac_valley,1,14.49
1515431,D12,,2021,27.777468592537332,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.87
1515509,D12,,2021,78.13484301168135,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.48
1515715,D12,,2021,73.66402971666598,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.13
1515651,D12,,2021,38.00087883236326,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,13.64
1515839,D12,,2021,77.86800305725232,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.75
1515864,D12,,2020,74.89682385710444,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.07
1521174,D12,,2021,38.80667519196898,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,13.99
1517137,D12,,2020,76.71304754634681,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.39
1525630,D12,,2022,71.3443607431423,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.58
1519306,D12,,2021,78.70910461986196,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,19.61
1518887,D12,,2021,70.09283624297663,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.81
1519213,D12,,2021,76.83060781142912,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.19
1519234,D12,,2021,71.12532646127484,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.91
1519972,D12,,2022,75.32343927501053,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.63
1519748,D12,,2021,75.81673775460933,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,11.44
1500355,D12,,2021,76.99439762619339,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.26
1521256,D12,,2020,70.78024280633892,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,16.11
1514288,D12,,2021,37.90018161928056,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.94
1514476,D12,,2022,36.987503903927205,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.56
1504639,D12,,2021,233.82982719945585,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,13.02
1512491,D12,,2021,18.744402651692347,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.64
1524616,D12,,2021,73.8734237916726,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,5.45
1524630,D12,,2022,80.38060135312912,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,4.67
1524635,D12,,2022,78.48215412087289,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,4.95
1524647,D12,,2022,77.88130341477012,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,5.05
1524648,D12,,2022,39.436044720942284,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,4.46
1524649,D12,,2022,38.54034783568074,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,4.35
1524672,D12,,2021,75.49813860911361,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,4.92
1514319,D12,,2020,39.58800408710125,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.78
1504063,D12,,2020,35.59784714433071,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.72
1521009,D12,,2019,16.56275236817757,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,16.65
